Hora inicio (UTC),Fin transacción (UTC),Zona horaria local,ID transacción,Estado,Tipo,Descripción,Pagador,Nº tarjeta,División gasto,Divisa original,Importe orig.,Moneda de pago,Importe pagado,Comisión,Cuenta,Fecha envío (UTC),ID gasto,Estado gasto,Descripción gasto,Tasa impuestos,Imp. impuestos,Categoría,Código categoría,Ingreso,Gasto
2025-04-24 20:56:31,2025-04-24 21:03:31,Europe/Madrid,TXN8859158368,Completed,Subscription,Chang-Fisher,Jorge Sullivan,4366 4578 9268 3281,2,JPY,51.46,JPY,51.46,0.51,JPY-ACC-243,2025-04-24 21:03:32,EXP0000,Completed,generate seamless info-mediaries,0.1,5.15,Transporte,TRA003,0.0,51.46
2025-03-08 15:36:43,2025-03-08 15:38:43,Europe/Madrid,TXN6713153566,Completed,Online Payment,"Snow, Robinson and Taylor",Brandon Lloyd,4103 6796 8113 6180,3,GBP,1184.75,USD,915.49,9.15,GBP-ACC-755,2025-03-08 15:38:44,EXP0001,Completed,redefine B2B content,0.1,91.55,Cajero automático,ATM001,0.0,915.49
2025-02-11 11:25:54,2025-02-11 11:29:54,Europe/Madrid,TXN1060308648,Completed,Subscription,"Jones, Jefferson and Rivera",Heather Stewart,4727 1018 9086 6458,1,JPY,532.9,GBP,81502.35,815.02,JPY-ACC-847,2025-02-11 11:29:55,EXP0002,Completed,whiteboard best-of-breed schemas,0.1,8150.24,Alimentación,ALI001,0.0,81502.35
2025-03-20 04:48:36,2025-03-20 04:54:36,Europe/Madrid,TXN7627091393,Completed,Card Payment,Grimes-Green,Kimberly Smith,4082 6243 9322 9016,1,EUR,231.71,USD,210.65,2.11,EUR-ACC-408,2025-03-20 04:54:37,EXP0003,Completed,drive wireless web services,0.1,21.07,Compras,COM002,0.0,210.65
2025-04-03 14:16:17,2025-04-03 14:25:17,Europe/Madrid,TXN6530445838,Completed,Card Payment,Salazar LLC,Frederick Harrell,4610 7306 6194 4966,2,GBP,848.75,GBP,848.75,8.49,GBP-ACC-288,2025-04-03 14:25:18,EXP0004,Completed,aggregate magnetic action-items,0.1,84.88,Ingresos,ING001,848.75,0.0
2025-04-20 21:13:34,2025-04-20 21:17:34,Europe/Madrid,TXN1296718909,Completed,ATM Withdrawal,Pratt Group,Willie Golden,4897 3450 1633 2314,3,USD,42.47,GBP,54.96,0.55,USD-ACC-949,2025-04-20 21:17:35,EXP0005,Completed,re-contextualize holistic platforms,0.1,5.5,Transporte,TRA003,0.0,54.96
2025-03-03 03:43:06,2025-03-03 03:52:06,Europe/Madrid,TXN4485918757,Completed,ATM Withdrawal,"Carter, Martinez and Cook",Christina Lloyd,4916 7871 5509 8382,2,JPY,1005.92,GBP,153846.59,1538.47,JPY-ACC-776,2025-03-03 03:52:07,EXP0006,Completed,engage front-end systems,0.1,15384.66,Entretenimiento,ENT005,0.0,153846.59
2025-02-10 18:48:53,2025-02-10 18:54:53,Europe/Madrid,TXN1817670926,Completed,Card Payment,"Yates, Stewart and Allen",Roberto Johnson,4749 5440 2919 4612,2,EUR,391.22,EUR,391.22,3.91,EUR-ACC-913,2025-02-10 18:54:54,EXP0007,Completed,repurpose back-end info-mediaries,0.1,39.12,Transporte,TRA003,0.0,391.22
2025-02-08 14:16:37,2025-02-08 14:19:37,Europe/Madrid,TXN4363468387,Completed,ATM Withdrawal,Shelton and Sons,Tammy Kirby,4046 9752 2212 1437,1,GBP,513.08,EUR,436.12,4.36,GBP-ACC-750,2025-02-08 14:19:38,EXP0008,Completed,productize impactful deliverables,0.1,43.61,Alimentación,ALI001,0.0,436.12
2025-02-28 15:34:14,2025-02-28 15:38:14,Europe/Madrid,TXN5211286945,Completed,Card Payment,"Cain, Atkinson and Jacobson",Tiffany Riley,4620 1354 4188 4030,3,EUR,471.28,GBP,554.45,5.54,EUR-ACC-226,2025-02-28 15:38:15,EXP0009,Completed,grow rich web services,0.1,55.45,Ingresos,ING001,554.45,0.0
2025-04-05 03:23:36,2025-04-05 03:31:36,Europe/Madrid,TXN9687785011,Completed,Subscription,"Stark, Leon and Miller",Katelyn Mccoy,4635 2662 5258 2146,1,USD,873.4,EUR,960.74,9.61,USD-ACC-173,2025-04-05 03:31:37,EXP0010,Completed,iterate dynamic action-items,0.1,96.07,Salud,SAL007,0.0,960.74
2025-02-03 11:03:59,2025-02-03 11:08:59,Europe/Madrid,TXN3006313350,Completed,Online Payment,"Nelson, Thornton and Watson",Jeffery Brown,4103 7410 4266 5262,2,GBP,524.97,EUR,446.22,4.46,GBP-ACC-849,2025-02-03 11:09:00,EXP0011,Completed,generate B2B e-services,0.1,44.62,Entretenimiento,ENT005,0.0,446.22
2025-02-06 06:41:58,2025-02-06 06:49:58,Europe/Madrid,TXN3904264544,Completed,ATM Withdrawal,"Walters, Zuniga and Guzman",Caleb Lopez,4350 9674 5107 2920,3,USD,838.14,USD,838.14,8.38,USD-ACC-552,2025-02-06 06:49:59,EXP0012,Completed,e-enable 24/7 interfaces,0.1,83.81,Ingresos,ING001,838.14,0.0
2025-02-10 18:34:52,2025-02-10 18:37:52,Europe/Madrid,TXN9235647582,Completed,Transfer In,Bass-Wilson,Chloe Arellano,4397 5111 3513 1203,2,EUR,567.54,JPY,4.37,0.04,EUR-ACC-859,2025-02-10 18:37:53,EXP0013,Completed,unleash 24/7 info-mediaries,0.1,0.44,Entretenimiento,ENT005,0.0,4.37
