id_transaccion,nn_tarjeta,pagador
txn1939623321,4722 6214 6272 1581,heather hays
txn8617035552,4335 2484 6030 1493,amy parker
txn6360370463,4652 9670 1947 7167,alicia george
txn1200917231,4065 5247 3583 8313,christina saunders
txn2791085173,4941 6316 5138 2286,christopher hernandez
txn6591631324,4941 3728 7153 2424,ariel nash
txn3020487407,4528 1645 2087 4687,andrea powell
txn7429941741,4212 1689 4537 3397,kathleen schneider
txn5900149149,4734 2337 3480 6779,alyssa fox
txn6076517866,4583 5169 6450 2075,amy smith
txn7520418755,4239 7114 8868 5699,michael james
txn7629596201,4299 8247 7091 3257,jessica butler
txn8504635043,4009 7705 5321 9744,shelby cox
txn9516873817,4577 7650 7934 9539,devon morgan
txn5697438006,4036 1675 5417 3684,susan munoz
txn2867639416,4921 5677 9864 4296,linda johnson
txn8728111668,4531 4098 1625 7422,shelly daniels
txn9687785011,4635 2662 5258 2146,katelyn mccoy
txn7274651120,4048 7752 9086 8545,anna jimenez
txn5459468200,4738 2966 7615 6678,stephanie scott
txn5466682991,4922 1436 9520 4538,charles scott
txn6733837885,4303 6357 4015 2323,dawn jones
txn2223906076,4797 5594 5230 9812,harold vang
txn6713153566,4103 6796 8113 6180,brandon lloyd
txn4241060792,4548 7845 8900 7366,brittney jackson
txn6547930130,4213 1627 6163 5089,donna garcia
txn1060308648,4727 1018 9086 6458,heather stewart
txn2617130936,4508 2468 6871 5796,christopher smith
txn2781215744,4574 8883 8766 6522,adrian fischer
txn7165170521,4182 4405 7153 5768,jennifer bates
txn5367880897,4552 1953 3477 6790,jermaine fletcher
txn3199978512,4837 2173 4160 8480,danielle roy
txn3961235971,4238 3324 4063 8439,william bruce
txn5788443644,4956 1790 6044 3942,valerie perry
txn3553688457,4163 4922 4655 8342,kyle lyons
txn6530445838,4610 7306 6194 4966,frederick harrell
txn6756460408,4213 2900 6397 4975,ryan king
txn4485918757,4916 7871 5509 8382,christina lloyd
txn8528983977,4276 9066 7432 1242,thomas chavez
