id_transaccion,nn_tarjeta,pagador
txn7429941741,4212 1689 4537 3397,kathleen schneider
txn5459468200,4738 2966 7615 6678,stephanie scott
txn4485918757,4916 7871 5509 8382,christina lloyd
txn6360370463,4652 9670 1947 7167,alicia george
txn3553688457,4163 4922 4655 8342,kyle lyons
txn2223906076,4797 5594 5230 9812,harold vang
txn1060308648,4727 1018 9086 6458,heather stewart
txn8617035552,4335 2484 6030 1493,amy parker
txn9516873817,4577 7650 7934 9539,devon morgan
txn1939623321,4722 6214 6272 1581,heather hays
